label,game_id,source_class,source_username,white_elo,black_elo,elo_diff_abs,ply_count,opening_family,clock_tag_count,has_clock_data,move_count_total,avg_move_time,median_move_time,std_move_time,max_move_time,cv_move_time,fast_move_ratio,slow_move_ratio,white_move_count,white_avg_move_time,white_median_move_time,white_std_move_time,white_fast_move_ratio,white_slow_move_ratio,black_move_count,black_avg_move_time,black_median_move_time,black_std_move_time,black_fast_move_ratio,black_slow_move_ratio,wb_avg_time_diff,wb_move_count_diff
1,Mok5g0XC,bot,maia5,1668,1547,121,29,KING'S_PAWN,29,True,27,7.407407407407407,5.0,7.289054499774704,30.0,0.9840223574695851,0.25925925925925924,0.2222222222222222,14,3.142857142857143,3.0,2.325545799442815,0.42857142857142855,0.0,13,12.0,9.0,7.990378829952547,0.07692307692307693,0.46153846153846156,-8.857142857142858,1
0,lA9vhFkq,human,,1885,1851,34,73,QUEEN'S_PAWN,73,True,71,7.929577464788732,6.0,7.95112525239104,42.0,1.002717394173648,0.2676056338028169,0.30985915492957744,36,8.083333333333334,6.0,8.223864325512942,0.25,0.2777777777777778,35,7.771428571428571,4.0,7.6572494662088095,0.2857142857142857,0.34285714285714286,0.3119047619047626,1
0,bbrPzY6L,human,,1918,1873,45,67,INDIAN_DEFENSE,67,True,65,12.861538461538462,6.0,17.583101085615763,108.0,1.367107141824192,0.27692307692307694,0.38461538461538464,33,15.545454545454545,6.0,21.821716885334467,0.3939393939393939,0.48484848484848486,32,10.09375,5.0,11.03788752150972,0.15625,0.28125,5.451704545454545,1
0,mF5hOqOM,human,,1955,1933,22,50,ENGLISH,50,True,48,2.3125,1.0,2.171369095755026,8.0,0.9389704197859572,0.6875,0.0,24,2.2083333333333335,1.0,2.362540417055806,0.6666666666666666,0.0,24,2.4166666666666665,2.0,1.9561157657175838,0.7083333333333334,0.0,-0.20833333333333304,0
1,fbB3EUqo,bot,maia9,1756,1722,34,70,SICILIAN,70,True,68,5.338235294117647,4.0,3.583500975129535,16.0,0.6712894388672407,0.25,0.10294117647058823,34,5.294117647058823,5.0,2.5955778203423776,0.17647058823529413,0.029411764705882353,34,5.382352941176471,4.0,4.352245572401832,0.3235294117647059,0.17647058823529413,-0.08823529411764763,0
0,xMj1eZo5,human,,1908,1907,1,86,BIRD,86,True,84,9.5,6.0,10.050467887710738,59.0,1.0579439881800776,0.17857142857142858,0.38095238095238093,42,7.809523809523809,5.5,7.264519435612069,0.2619047619047619,0.3333333333333333,42,11.19047619047619,7.0,11.980615484702373,0.09523809523809523,0.42857142857142855,-3.3809523809523805,0
1,sj1Kz6b7,bot,maia1,1562,1811,249,107,SCANDINAVIAN,107,True,105,1.4190476190476191,1.0,2.4173222193199937,16.0,1.7034821008630827,0.8285714285714286,0.009523809523809525,53,0.1320754716981132,0.0,0.33857280084766717,1.0,0.0,52,2.730769230769231,2.0,2.8763985535828054,0.6538461538461539,0.019230769230769232,-2.5986937590711174,1
0,aTH3trO5,human,,2139,2114,25,134,OTHER,134,True,132,8.151515151515152,3.0,18.198603363197478,149.0,2.232542420020508,0.4090909090909091,0.19696969696969696,66,8.0,3.0,18.77861452920219,0.42424242424242425,0.21212121212121213,66,8.303030303030303,3.0,17.598183185298538,0.3939393939393939,0.18181818181818182,-0.30303030303030276,0
0,hXFJaM5J,human,,1989,1965,24,100,SICILIAN,100,True,98,8.540816326530612,5.0,11.6865249171742,78.0,1.368314745380014,0.32653061224489793,0.2857142857142857,49,5.877551020408164,4.0,4.7148599349907085,0.30612244897959184,0.20408163265306123,49,11.204081632653061,5.0,15.38615809392635,0.3469387755102041,0.3673469387755102,-5.326530612244897,0
1,6HES8HfC,bot,maia5,1577,1632,55,32,OTHER,32,True,30,9.8,4.0,19.339769043777814,82.0,1.9734458207936543,0.3333333333333333,0.16666666666666666,15,16.066666666666666,7.0,25.815929621499635,0.3333333333333333,0.3333333333333333,15,3.533333333333333,3.0,1.746106780494506,0.3333333333333333,0.0,12.533333333333333,0
0,DpqI8afp,human,,1801,1831,30,168,INDIAN_DEFENSE,168,True,166,5.975903614457831,2.0,9.965574362587036,77.0,1.6676263550296855,0.572289156626506,0.18072289156626506,83,4.867469879518072,2.0,6.253232579624389,0.5783132530120482,0.1686746987951807,83,7.0843373493975905,2.0,12.5325646365029,0.5662650602409639,0.1927710843373494,-2.216867469879518,0
1,sMiLZwVF,bot,Boris-Trapsky,2170,2233,63,48,OTHER,48,True,46,11.673913043478262,7.0,13.96588132592533,62.0,1.1963324785708849,0.08695652173913043,0.32608695652173914,23,16.391304347826086,8.0,18.388888730248475,0.17391304347826086,0.4782608695652174,23,6.956521739130435,7.0,2.726333114189719,0.0,0.17391304347826086,9.434782608695652,0
0,wu0HMtxp,human,,1886,1904,18,83,RUY_LOPEZ,83,True,81,8.185185185185185,4.0,9.544064293439739,48.0,1.1660169046283844,0.20987654320987653,0.24691358024691357,41,7.634146341463414,4.0,8.435569573381791,0.21951219512195122,0.2682926829268293,40,8.75,4.5,10.53031338565002,0.2,0.225,-1.1158536585365857,1
1,psAWCMjy,bot,OpeningsBot,2496,2352,144,130,OTHER,130,True,128,7.03125,1.0,11.50267462103923,90.0,1.6359359461033571,0.5546875,0.296875,64,9.078125,6.0,14.022643170400329,0.4375,0.328125,64,4.984375,1.0,7.720694972563998,0.671875,0.265625,4.09375,0
0,T9DB3bw2,human,,1992,1990,2,52,CENTER_GAME,52,True,50,16.44,12.5,15.95262987723341,87.0,0.970354615403492,0.08,0.56,25,22.56,18.0,18.99701029109581,0.04,0.8,25,10.32,7.0,8.554390685490112,0.12,0.32,12.239999999999998,0
0,i3ZOOWBv,human,,2088,2057,31,31,OTHER,31,True,29,3.2413793103448274,2.0,3.430644580167699,13.0,1.058390349200673,0.6206896551724138,0.10344827586206896,15,3.1333333333333333,2.0,2.8720878971384023,0.5333333333333333,0.06666666666666667,14,3.357142857142857,2.0,3.9389473368463532,0.7142857142857143,0.14285714285714285,-0.2238095238095239,1
1,Ko5WWqmS,bot,simpleEval,2202,2229,27,232,FRENCH,232,True,230,4.98695652173913,2.0,6.089535168083606,49.0,1.2210924922922664,0.5043478260869565,0.16956521739130434,115,4.982608695652174,3.0,5.0904558755374705,0.4782608695652174,0.17391304347826086,115,4.991304347826087,2.0,6.946373031926571,0.5304347826086957,0.16521739130434782,-0.00869565217391255,0
0,ubnZ9xmO,human,,1830,1816,14,29,INDIAN_DEFENSE,29,True,27,6.111111111111111,4.0,6.244009474767608,23.0,1.0217470049619721,0.37037037037037035,0.18518518518518517,14,6.357142857142857,4.0,6.36516347963263,0.2857142857142857,0.14285714285714285,13,5.846153846153846,3.0,6.099762338953541,0.46153846153846156,0.23076923076923078,0.510989010989011,1
0,W1u1DgHx,human,,1823,1811,12,47,PETROV,47,True,45,4.266666666666667,3.0,4.013311184877977,24.0,0.9406198089557758,0.4222222222222222,0.06666666666666667,23,5.043478260869565,4.0,4.8227563909085385,0.2608695652173913,0.13043478260869565,22,3.4545454545454546,2.0,2.7090298955911525,0.5909090909090909,0.0,1.5889328063241108,1
1,O8YHWV0P,bot,simpleEval,2406,2266,140,113,SLAV,113,True,111,9.027027027027026,6.0,10.794943310242143,78.0,1.1958470134100578,0.18018018018018017,0.3153153153153153,56,8.303571428571429,7.0,5.354969797357614,0.07142857142857142,0.375,55,9.763636363636364,6.0,14.314599840548855,0.2909090909090909,0.2545454545454545,-1.4600649350649348,1
0,9tEsNno6,human,,2047,2007,40,76,BIRD,76,True,74,12.445945945945946,8.5,11.127202960618984,60.0,0.8940423659997881,0.16216216216216217,0.4594594594594595,37,14.35135135135135,12.0,10.475753772057095,0.05405405405405406,0.5135135135135135,37,10.54054054054054,8.0,11.429205346083824,0.2702702702702703,0.40540540540540543,3.8108108108108105,0
0,YEbkOEh5,human,,1859,1921,62,33,RUY_LOPEZ,33,True,31,6.516129032258065,2.0,10.395008007078284,40.0,1.5952735060367662,0.5806451612903226,0.1935483870967742,16,3.75,2.0,3.5794552658190883,0.625,0.125,15,9.466666666666667,2.0,13.884603783407801,0.5333333333333333,0.26666666666666666,-5.716666666666667,1
0,vtCLuov6,human,,1828,1814,14,142,QUEEN'S_PAWN,142,True,140,5.507142857142857,4.0,5.34989509719774,31.0,0.9714465805547128,0.32142857142857145,0.15,70,4.785714285714286,4.0,4.63493830177107,0.37142857142857144,0.11428571428571428,70,6.228571428571429,4.0,5.892298674835602,0.2714285714285714,0.18571428571428572,-1.442857142857143,0
0,RQ2QLiBh,human,,1867,1878,11,62,QUEEN'S_PAWN,62,True,60,14.766666666666667,7.0,27.635343714566357,201.0,1.8714679716410625,0.23333333333333334,0.38333333333333336,30,16.6,6.5,35.90505999623637,0.3,0.43333333333333335,30,12.933333333333334,7.0,15.216073372880695,0.16666666666666666,0.3333333333333333,3.666666666666668,0
1,62dD14f2,bot,Boris-Trapsky,2197,1630,567,23,OTHER,23,True,21,4.476190476190476,4.0,2.9214974571767556,12.0,0.6526749638373602,0.2857142857142857,0.09523809523809523,11,6.2727272727272725,5.0,2.6659778724754872,0.0,0.18181818181818182,10,2.5,2.0,1.6278820596099706,0.6,0.0,3.7727272727272725,1
0,Zl1nAbCh,human,,1891,1937,46,121,SICILIAN,121,True,119,3.991596638655462,2.0,5.374223881147359,36.0,1.3463845091716542,0.5462184873949579,0.10084033613445378,60,2.95,2.0,3.148676970834999,0.6666666666666666,0.03333333333333333,59,5.0508474576271185,3.0,6.778389711312395,0.423728813559322,0.1694915254237288,-2.1008474576271183,1
1,5hjxOnS8,bot,OpeningsBot,2472,2273,199,127,OTHER,127,True,125,6.952,6.0,5.974420139226902,37.0,0.859381492984307,0.304,0.296,63,6.698412698412699,4.0,7.469801469142951,0.47619047619047616,0.2857142857142857,62,7.209677419354839,7.0,3.89017412652074,0.12903225806451613,0.3064516129032258,-0.5112647209421404,1
0,lQZr2DEt,human,,1869,1825,44,45,SICILIAN,45,True,43,6.023255813953488,3.0,6.66991988408711,33.0,1.1073612162770106,0.4418604651162791,0.27906976744186046,22,6.681818181818182,4.0,5.683999581251693,0.3181818181818182,0.36363636363636365,21,5.333333333333333,2.0,7.504496006892156,0.5714285714285714,0.19047619047619047,1.3484848484848486,1
1,oiaIinzY,bot,maia1,1582,1500,82,39,OTHER,39,True,37,5.837837837837838,5.0,5.925271180992312,34.0,1.0149770078551645,0.32432432432432434,0.13513513513513514,19,4.578947368421052,5.0,2.5197282533864893,0.3157894736842105,0.05263157894736842,18,7.166666666666667,4.5,7.87577156714044,0.3333333333333333,0.2222222222222222,-2.5877192982456148,1
1,ZwtuuIMl,bot,Boris-Trapsky,2165,2247,82,52,OTHER,52,True,50,9.9,7.0,14.382280764885659,78.0,1.452755632816733,0.18,0.24,25,12.44,7.0,19.799151496970772,0.28,0.28,25,7.36,7.0,2.9648608736330275,0.08,0.2,5.079999999999999,0
0,G3UElUVF,human,,2073,2095,22,128,SCANDINAVIAN,128,True,126,8.61111111111111,4.0,11.670048640574237,50.0,1.3552314550344275,0.42857142857142855,0.2619047619047619,63,7.936507936507937,4.0,10.31699632656317,0.4444444444444444,0.2698412698412698,63,9.285714285714286,4.0,12.846379974843103,0.4126984126984127,0.25396825396825395,-1.3492063492063497,0
0,yYCBCAIS,human,,2164,2149,15,50,OTHER,50,True,48,8.604166666666666,5.0,8.390817360199316,40.0,0.9752039546962886,0.16666666666666666,0.2916666666666667,24,11.208333333333334,7.0,10.440223363936658,0.125,0.4166666666666667,24,6.0,4.5,4.272001872658765,0.20833333333333334,0.16666666666666666,5.208333333333334,0
1,y3MaULb8,bot,maia9,1714,1704,10,112,OTHER,112,True,110,5.409090909090909,5.0,3.4779708152506883,23.0,0.6429862011387827,0.21818181818181817,0.08181818181818182,55,5.709090909090909,6.0,2.2697434959021434,0.10909090909090909,0.01818181818181818,55,5.109090909090909,4.0,4.342905300174181,0.32727272727272727,0.14545454545454545,0.5999999999999996,0
