game_id,label,source_class,source_username,engine_nonmate_move_count,critical_nonmate_positions_count,time_pressure_positions_count,best_move_ratio,top2_move_ratio,top3_move_ratio,best_move_ratio_in_critical_positions,best_move_ratio_under_time_pressure
O8YHWV0P,1,bot,simpleEval,103,21,16,0.5728155339805825,0.7378640776699029,0.8058252427184466,0.9523809523809523,0.6875
OlE1rJJn,1,bot,maia9,33,7,12,0.36363636363636365,0.6363636363636364,0.696969696969697,0.7142857142857143,0.4166666666666667
PQDRNfmH,0,human,,65,13,28,0.35384615384615387,0.46153846153846156,0.6,0.6923076923076923,0.35714285714285715
QAVWOY3f,1,bot,Boris-Trapsky,80,16,12,0.4375,0.5875,0.6625,0.875,0.4166666666666667
QSkSob8s,1,bot,simpleEval,81,17,12,0.5308641975308642,0.7530864197530864,0.8641975308641975,0.8823529411764706,0.3333333333333333
QdlSMPUR,1,bot,maia5,73,15,15,0.4931506849315068,0.6986301369863014,0.7671232876712328,0.8,0.4666666666666667
R0GX1lCZ,1,bot,maia5,28,6,12,0.6785714285714286,0.7857142857142857,0.7857142857142857,1.0,0.6666666666666666
RXQi6XPy,1,bot,maia5,44,9,7,0.3181818181818182,0.5454545454545454,0.6136363636363636,0.5555555555555556,0.2857142857142857
SeC9rRMq,1,bot,maia5,59,12,13,0.4576271186440678,0.5423728813559322,0.6271186440677966,0.75,0.46153846153846156
SkSJo2k9,0,human,,60,12,14,0.43333333333333335,0.5833333333333334,0.6333333333333333,0.5833333333333334,0.5714285714285714
T9DB3bw2,0,human,,52,11,4,0.34615384615384615,0.4807692307692308,0.5576923076923077,0.45454545454545453,0.25
U8slih43,0,human,,95,19,25,0.3368421052631579,0.5473684210526316,0.6421052631578947,0.7894736842105263,0.4
UnED8jKk,0,human,,49,10,12,0.4489795918367347,0.6938775510204082,0.7755102040816326,0.8,0.5833333333333334
V1iCZ0dv,0,human,,39,8,10,0.358974358974359,0.46153846153846156,0.717948717948718,0.375,0.2
VKOgeBjE,0,human,,26,6,10,0.5,0.6153846153846154,0.8076923076923077,0.6666666666666666,0.4
WOQH6rNk,0,human,,89,18,23,0.29213483146067415,0.43820224719101125,0.5280898876404494,0.6111111111111112,0.2608695652173913
Wmjffc1x,0,human,,69,15,25,0.37681159420289856,0.5217391304347826,0.5942028985507246,0.5333333333333333,0.48
YY2xnczX,0,human,,62,13,24,0.3387096774193548,0.5806451612903226,0.6935483870967742,0.6923076923076923,0.2916666666666667
YcgFlqIp,0,human,,96,20,31,0.3645833333333333,0.5,0.59375,0.7,0.3870967741935484
Z2vlJCS8,0,human,,36,8,11,0.6111111111111112,0.8611111111111112,0.9166666666666666,0.875,0.7272727272727273
ZGHzdcsG,0,human,,70,14,20,0.32857142857142857,0.5285714285714286,0.6571428571428571,0.6428571428571429,0.4
ZGqhoOab,1,bot,Boris-Trapsky,118,24,73,0.4830508474576271,0.6016949152542372,0.711864406779661,0.7083333333333334,0.4246575342465753
ZhNGLISm,1,bot,maia5,62,13,11,0.3225806451612903,0.532258064516129,0.6129032258064516,0.6153846153846154,0.2727272727272727
ZwtuuIMl,1,bot,Boris-Trapsky,52,11,9,0.36538461538461536,0.5961538461538461,0.6730769230769231,0.7272727272727273,0.3333333333333333
ZzC1Y5TH,1,bot,OpeningsBot,43,9,16,0.5116279069767442,0.6511627906976745,0.7209302325581395,0.7777777777777778,0.3125
a6rX0AcI,0,human,,87,19,29,0.39080459770114945,0.5862068965517241,0.7126436781609196,0.7368421052631579,0.3103448275862069
aTH3trO5,0,human,,123,25,45,0.44715447154471544,0.6178861788617886,0.7723577235772358,0.84,0.5111111111111111
adxV7ywn,0,human,,125,25,40,0.344,0.496,0.632,0.44,0.425
atbLOLuV,0,human,,65,13,20,0.3384615384615385,0.4307692307692308,0.5384615384615384,0.5384615384615384,0.25
bZ7Jg8Tj,1,bot,simpleEval,161,33,35,0.5031055900621118,0.6770186335403726,0.7391304347826086,0.6666666666666666,0.5142857142857142
cdS7HYOj,1,bot,maia1,53,10,22,0.4716981132075472,0.6226415094339622,0.7358490566037735,0.5,0.45454545454545453
d4I3sUFi,1,bot,maia1,83,16,23,0.3132530120481928,0.42168674698795183,0.5301204819277109,0.5,0.34782608695652173
dOj8Zr6n,1,bot,maia9,57,12,11,0.5263157894736842,0.631578947368421,0.7368421052631579,0.9166666666666666,0.5454545454545454
dnpJ86OI,0,human,,47,10,12,0.3404255319148936,0.5531914893617021,0.723404255319149,0.9,0.25
eS5CaW0M,0,human,,31,7,6,0.3870967741935484,0.6451612903225806,0.7096774193548387,0.5714285714285714,0.16666666666666666
