game_id,label,source_class,source_username,engine_move_count,critical_positions_count,error_moves_count,time_complexity_corr,critical_time_lift,cpl_mean,cpl_median,cpl_std,post_error_time_ratio
8O8jF5VM,0,human,,24,5,5,0.36433583180174617,1.716346153846154,55.869565217391305,0.0,89.43606137193211,3.372434017595308
9Bcf79Q3,1,bot,maia9,49,10,5,0.14884271030508736,3.247257383966245,56.53333333333333,21.0,104.26155145167901,2.652777777777778
9JHEpppr,1,bot,OpeningsBot,124,24,4,0.08354823525281621,0.9682151589242053,18.70967741935484,4.0,41.488392118050356,1.7613139961558621
9TikEE2t,0,human,,88,17,13,0.0828522145039775,1.1396756233357541,49.375,11.0,86.83635504106665,4.026755852842809
9f5NdOK1,0,human,,177,35,14,-0.012009695660862048,0.8544502617801046,35.01875,5.0,80.48986519082698,2.4771689497716896
AJCuUo1T,0,human,,94,19,19,0.2657191556710666,1.8683178534571723,70.40217391304348,9.0,125.76773449002079,3.897849462365592
AUUdRQM9,1,bot,OpeningsBot,69,14,6,-0.04913595700292705,0.8299620733249052,29.084745762711865,8.0,49.037961129262136,1.4187866927592956
AWv6M5Az,1,bot,Boris-Trapsky,104,21,9,0.07385937789799345,0.7426823940585408,35.395833333333336,12.5,50.179984216540184,1.5526315789473686
BKb6miha,0,human,,97,19,9,0.06545639693492318,0.9469153515064562,45.03092783505155,22.0,90.6648357718188,0.938715513342379
BLBRHhon,0,human,,33,7,2,0.1273081363050542,0.8389057750759878,41.09090909090909,28.0,62.66716487698329,1.1330049261083743
BMOVEMrk,0,human,,120,24,10,0.004671933373401416,1.2031590413943356,37.11666666666667,18.5,52.95331014729443,2.041666666666667
BS3ekge9,0,human,,113,23,16,-0.029012822678533237,1.1659179166983933,42.91150442477876,12.0,84.73556551022997,1.3062987149778806
BaFLjvsB,1,bot,maia5,36,7,4,0.12915106154682524,0.9965156794425087,39.94444444444444,20.0,58.7518058561439,1.9948849104859336
BcttHfAZ,0,human,,87,17,11,-0.030255404247492082,0.789237668161435,48.57831325301205,25.0,85.18514499180809,
BwsgUCqr,1,bot,Lynx_BOT,264,58,1,0.2290039226675551,4.12663159945451,6.075757575757576,2.0,14.990967589670916,0.06960098724804607
C73eoHiB,0,human,,24,5,6,0.3409965342765022,2.110344827586207,83.58333333333333,21.0,123.71570793108242,
CDWwP856,0,human,,90,19,20,0.0726270656581274,1.2013946538269966,62.8,28.0,80.96797720909997,4.67587601078167
CFDCFJ17,1,bot,Boris-Trapsky,42,8,4,0.12870631763309082,1.0550742574257426,46.411764705882355,19.5,69.57523124480555,1.008
DSZIvFmR,1,bot,Boris-Trapsky,46,9,5,0.05933021456668442,0.9594356261022928,35.3,10.5,71.70397478522372,
DUBTtYhw,0,human,,80,16,9,-0.11030682483257029,0.8299676898222941,46.4625,13.0,88.49052827139185,1.5781182094741417
DV3Eg0pP,0,human,,44,9,2,0.1661779927613738,1.2372188139059304,17.404761904761905,2.0,45.43287016698348,2.3225806451612905
DX95KdQG,1,bot,Lynx_BOT,58,12,3,-0.09902834804273701,0.5820105820105821,16.90740740740741,2.0,43.40944961066295,0.7847333690030319
DkOw2MhD,1,bot,maia1,173,34,13,-0.018731470208038604,1.143404107205012,33.198830409356724,18.0,43.90614922937931,6.10248447204969
ECqum7TI,0,human,,62,12,12,-0.1138861169394421,0.7971864009378664,51.82258064516129,25.0,68.92504675921246,2.476321207961565
EsMjqIO2,0,human,,71,14,12,0.23093131786225377,1.8141109654871124,45.80281690140845,12.0,61.816087909697366,5.624242424242424
EvFryXbt,1,bot,Boris-Trapsky,35,7,1,0.06202675835438339,1.2155844155844155,26.514285714285716,13.0,34.249814538452135,
FIHrMK1X,1,bot,OpeningsBot,113,24,5,-0.10970618369344101,0.44322152341020266,31.08411214953271,13.0,56.7972490934689,0.2321218480714808
