game_id,label,source_class,source_username,early_move_count,middle_move_count,late_move_count,early_avg_time,middle_avg_time,late_avg_time,early_cpl_mean,middle_cpl_mean,late_cpl_mean,early_cpl_std,middle_cpl_std,late_cpl_std,time_early_to_middle_diff,time_middle_to_late_diff,cpl_early_to_middle_diff,cpl_middle_to_late_diff
4mvvdAHi,1,bot,Boris-Trapsky,25,25,25,7.56,5.84,4.043478260869565,20.32,14.32,24.48,36.29734976551318,20.27751464060623,46.7368120436129,-1.7199999999999998,-1.7965217391304344,-6.0,10.16
4oprdF2Y,1,bot,maia5,14,15,15,3.0714285714285716,4.733333333333333,6.076923076923077,17.428571428571427,30.8,26.363636363636363,26.248031996198677,40.2313310741765,41.596050352872176,1.6619047619047618,1.3435897435897433,13.371428571428574,-4.436363636363637
5YkH7xvt,0,human,,16,16,16,1.4375,7.9375,19.214285714285715,3.125,22.0625,77.0,4.662014049742879,21.795838909067022,119.81652640600127,6.5,11.276785714285715,18.9375,54.9375
5glLVBCA,1,bot,OpeningsBot,9,9,10,1.1111111111111112,1.4444444444444444,8.0,5.444444444444445,9.0,43.1,7.33501664182178,9.556847457887635,88.48440540569847,0.33333333333333326,6.555555555555555,3.5555555555555554,34.1
5hjxOnS8,1,bot,OpeningsBot,42,42,43,8.928571428571429,7.333333333333333,4.536585365853658,11.047619047619047,20.833333333333332,26.82857142857143,17.1032611495619,27.41125652222065,45.03807006413619,-1.5952380952380958,-2.796747967479675,9.785714285714285,5.995238095238097
7VmqNIj4,1,bot,maia5,11,11,12,2.0,4.7272727272727275,6.8,39.54545454545455,94.63636363636364,50.25,51.848316596436355,161.6034837199162,38.449371472972956,2.7272727272727275,2.0727272727272723,55.09090909090909,-44.38636363636364
7nDgDPHo,1,bot,maia5,25,25,25,2.0,3.48,3.6956521739130435,37.32,23.8,62.63636363636363,47.43308549946967,22.360679774997898,76.78100229906866,1.48,0.21565217391304348,-13.52,38.83636363636363
7yl3qckK,1,bot,OpeningsBot,46,47,47,9.326086956521738,12.27659574468085,1.9555555555555555,25.282608695652176,22.72340425531915,44.25714285714286,54.115280749396575,25.102938818935442,33.94814773583203,2.9505087881591123,-10.321040189125295,-2.5592044403330263,21.53373860182371
9Bcf79Q3,1,bot,maia9,16,16,17,4.5,6.375,18.066666666666666,72.25,32.9375,65.61538461538461,141.15882012825128,37.08009700297452,110.66341099272324,1.875,11.691666666666666,-39.3125,32.67788461538461
9JHEpppr,1,bot,OpeningsBot,41,41,42,6.146341463414634,4.365853658536586,2.075,12.097560975609756,7.195121951219512,31.69047619047619,23.6939890268055,12.33519555480868,52.32657892197812,-1.7804878048780486,-2.2908536585365855,-4.902439024390244,24.495354239256677
9f5NdOK1,0,human,,59,59,59,7.8474576271186445,8.661016949152541,3.491228070175439,42.47457627118644,26.338983050847457,40.30952380952381,73.06518007967058,68.81924498511842,93.30275555958322,0.813559322033897,-5.169788878977103,-16.135593220338986,13.970540758676353
AUUdRQM9,1,bot,OpeningsBot,23,23,23,6.391304347826087,10.695652173913043,7.809523809523809,9.478260869565217,28.91304347826087,65.61538461538461,11.627813601418728,35.81220710447433,73.87988011895074,4.304347826086956,-2.8861283643892337,19.434782608695656,36.70234113712374
BMOVEMrk,0,human,,40,40,40,3.725,4.4,1.9736842105263157,34.6,45.45,27.7,38.71937499495569,61.409262330694055,51.301656893320704,0.6750000000000003,-2.4263157894736844,10.850000000000001,-17.750000000000004
