game_id,label,source_class,source_username,white_cpl_mean,black_cpl_mean,wb_cpl_mean_diff,white_best_move_ratio,black_best_move_ratio,wb_best_move_ratio_diff,white_time_complexity_corr,black_time_complexity_corr,wb_time_complexity_corr_diff,white_critical_time_lift,black_critical_time_lift,wb_critical_time_lift_diff
3KmunfcB,0,human,,40.36363636363637,54.285714285714285,-13.922077922077918,0.5454545454545454,0.6190476190476191,-0.07359307359307365,-0.3270626595423704,-0.4296837051411902,0.1026210455988198,0.611764705882353,0.6481481481481481,-0.03638344226579515
3NTlQsUb,0,human,,60.177215189873415,61.12658227848101,-0.9493670886075947,0.3670886075949367,0.4430379746835443,-0.07594936708860756,0.18689529045111045,-0.11413982578697361,0.30103511623808404,1.6650510204081634,0.8796542553191489,0.7853967650890146
3YP5ygrm,1,bot,simpleEval,23.27906976744186,25.19047619047619,-1.9114064230343288,0.46511627906976744,0.47619047619047616,-0.011074197120708729,0.05406397017330794,-0.10793738371375183,0.16200135388705977,1.2890625,0.62120232708468,0.66786017291532
3YzizUdI,1,bot,simpleEval,18.807692307692307,49.92,-31.112307692307695,0.4230769230769231,0.36,0.06307692307692309,0.1240434631458974,-0.3301438997831162,0.4541873629290136,0.7792207792207793,0.34831460674157305,0.4309061724792062
3nZBcFcx,0,human,,66.625,41.375,25.25,0.3125,0.34375,-0.03125,0.5199882503803807,-0.08168688487876717,0.6016751352591478,2.7631103074141046,0.5777777777777778,2.1853325296363266
3p4Y148b,1,bot,maia1,56.2,41.98,14.220000000000006,0.54,0.56,-0.020000000000000018,0.0736223034187502,0.2543858655554977,-0.1807635621367475,0.9665217391304347,1.0491803278688523,-0.08265858873841758
3ukev9AE,1,bot,maia5,84.93548387096774,82.41935483870968,2.516129032258064,0.3548387096774194,0.3870967741935484,-0.032258064516129004,0.047557406987373964,0.05397281042475799,-0.006415403437384025,1.2542242703533024,1.0,0.2542242703533024
4BldYeqX,1,bot,OpeningsBot,21.357142857142858,51.0,-29.642857142857142,0.35714285714285715,0.23076923076923078,0.12637362637362637,0.6565593317658306,0.31398760493360284,0.34257172683222775,14.35897435897436,1.9714285714285715,12.387545787545788
4U9hQkO5,0,human,,57.0,34.70967741935484,22.29032258064516,0.3870967741935484,0.41935483870967744,-0.03225806451612906,-0.018299622503615488,0.1705616692964305,-0.188861291800046,0.42039704165044767,2.114819759679573,-1.6944227180291251
4UfNLuFZ,1,bot,maia1,61.0,79.74193548387096,-18.74193548387096,0.3870967741935484,0.3548387096774194,0.032258064516129004,-0.1330265372993207,0.08561645977972755,-0.21864299707904827,0.6857142857142856,1.1197691197691197,-0.43405483405483414
4XdOH7vq,0,human,,46.0,38.97959183673469,7.020408163265309,0.40816326530612246,0.40816326530612246,0.0,-0.12146869152197044,-0.010902472904764928,-0.11056621861720552,0.7675531914893617,0.999375,-0.23182180851063827
4f8UxP39,0,human,,36.3,47.3469387755102,-11.046938775510206,0.5,0.3673469387755102,0.13265306122448978,-0.04989931850907555,0.09692327660579177,-0.1468225951148673,1.077889447236181,1.0602836879432624,0.017605759292918632
4mvvdAHi,1,bot,Boris-Trapsky,14.473684210526315,29.027027027027028,-14.553342816500713,0.47368421052631576,0.4864864864864865,-0.01280227596017075,-0.030888247924182665,-0.10212725981738138,0.07123901189319871,1.009020618556701,1.2927927927927927,-0.2837721742360917
5YkH7xvt,0,human,,45.125,25.125,20.0,0.5416666666666666,0.4583333333333333,0.08333333333333331,0.33040572340117563,0.0553478467624312,0.2750578766387444,1.8820754716981132,1.7937062937062938,0.08836917799181943
5glLVBCA,1,bot,OpeningsBot,38.57142857142857,9.785714285714286,28.785714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.31897241316883523,0.20514140762492541,0.11383100554390982,0.5333333333333333,0.4074074074074074,0.12592592592592594
5hjxOnS8,1,bot,OpeningsBot,14.733333333333333,22.135593220338983,-7.40225988700565,0.5666666666666667,0.423728813559322,0.14293785310734464,-0.13022524922044917,0.18350603493587822,-0.3137312841563274,0.5513513513513514,1.0823615160349855,-0.5310101646836342
5nMnSytK,1,bot,maia5,57.578947368421055,71.82051282051282,-14.241565452091763,0.3157894736842105,0.2564102564102564,0.05937921727395412,-0.06622158184125174,0.3773484077947937,-0.44356998963604544,0.9747706422018348,1.599264705882353,-0.6244940636805182
62dD14f2,1,bot,Boris-Trapsky,7.0,81.6,-74.6,0.8181818181818182,0.5,0.31818181818181823,0.5405273972454511,0.2564230804315938,0.2841043168138573,1.4222222222222223,1.0,0.4222222222222223
6H0lPmeP,1,bot,simpleEval,23.74468085106383,45.45652173913044,-21.711840888066607,0.40425531914893614,0.4782608695652174,-0.07400555041628126,-0.0651616886080619,0.041415268504267216,-0.10657695711232912,0.9742511823436679,0.8619718309859153,0.11227935135775258
6kf8qYi9,1,bot,maia1,90.5,52.25,38.25,0.0625,0.3125,-0.25,0.09801300833139745,0.13967343178481267,-0.041660423453415224,1.9156626506024095,0.6,1.3156626506024094
